job title,company name,location,description,links,date
Fit-out Estimator,Michael Page,Dubai · UAE,Position Title: Fit-out Estimator Employment Type: Full Time Salary: up to 9K AED all-inclusive…,https://www.bayt.com/en/uae/jobs/fit-out-estimator-5212811/,30+ days ago
"Facilities Coordinator, Reliability Maintenance Engineering RME",SAS Human CapitalDubai · UAE,Dubai · UAE,DESCRIPTION The Facilities Coordinator will have a significant impact on customer experience. He/She will have the ability to lead…,https://www.bayt.com/en/uae/jobs/facilities-coordinator-reliability-maintenance-engineering-rme-5211874/,30+ days ago
Concept Architect (UAE National),SAS Human Capital,Dubai · UAE,Black & Grey HR is recruiting a Concept Architect (UAE National) to join our client's team in the luxury building materials industry…,https://www.bayt.com/en/uae/jobs/concept-architect-uae-national-5209735/,30+ days ago
Estimator,RTC1 Recruitment ServicesDubai · UAE,Dubai · UAE,"As a leading Architectural Hardware Supplier in UAE, we are seeking a detail-oriented and experienced estimator, preferably with knowledge…",https://www.bayt.com/en/uae/jobs/estimator-5208173/,30+ days ago
"WHS Officer, Safety Officer",RTC1 Recruitment Services,Dubai · UAE,"DESCRIPTION Amazon is looking for a workplace, Health and Safety (WHS) Coordinator to add to the team: Year-on-year, as we continue…",https://www.bayt.com/en/uae/jobs/whs-officer-safety-officer-5205292/,30+ days ago
Civil Engineer,Amazon MENADubai · UAE,Dubai · UAE,Our client is seeking a talented and motivated Civil Engineer to join their team. This is a fantastic opportunity for both male and…,https://www.bayt.com/en/uae/jobs/civil-engineer-5204092/,30+ days ago
QUANTITY SURVEYOR - VILLAS EXPERIENCE,Amazon MENA,Dubai · UAE,Company Description Jobs for Humanity is collaborating with Atkins to build an inclusive and just employment ecosystem. We support…,https://www.bayt.com/en/uae/jobs/quantity-surveyor-villas-experience-72127651/,18 hours ago
Preventive Engineer,Black & Grey HRDubai · UAE,Dubai · UAE,ضمان تطبيق تعليمات اشتراطات السلامة الوقائية في المخططات والمشاريع الهندسية واقتراح الحلول المناسبة ووضع التوصيات. بكالوريوس في الهندسة…,https://www.bayt.com/en/uae/jobs/preventive-engineer-72127087/,18 hours ago
Senior Engineer - Drainage,Black & Grey HR,Dubai · UAE,"Company Description At AECOM, we’re delivering a better world. We believe infrastructure creates opportunity for everyone. Whether…",https://www.bayt.com/en/uae/jobs/senior-engineer-drainage-72124535/,18 hours ago
Senior Engineer - Planning,Silver ShoreDubai · UAE,Dubai · UAE,Senior Engineer - Planning THIS IS WHERE INCREDIBLE GROWTH BEGINS ENGINEERING SERVICES Senior Engineer – Planning The team is doubling…,https://www.bayt.com/en/uae/jobs/senior-engineer-planning-72122897/,18 hours ago
Trainee Engineer - UAE National,Silver Shore,Dubai · UAE,"Req ID: 475712 At Alstom, we understand transport networks and what moves people. From high-speed trains, metros, monorails, and…",https://www.bayt.com/en/uae/jobs/trainee-engineer-uae-national-72123945/,18 hours ago
QUANTITY SURVEYOR- INFRASTRUCTURE,Amazon MENADubai · UAE,Dubai · UAE,Company Description Jobs for Humanity is collaborating with Atkins to build an inclusive and just employment ecosystem. We support…,https://www.bayt.com/en/uae/jobs/quantity-surveyor-infrastructure-72122531/,Yesterday
Rolling Stock Engineer,Amazon MENA,Dubai · UAE,"Req ID: 475362 At Alstom, we understand transport networks and what moves people. From high-speed trains, metros, monorails, and…",https://www.bayt.com/en/uae/jobs/rolling-stock-engineer-72123902/,18 hours ago
"Assistant Resident Engineer - Marine, Dubai",Lobo ManagementDubai · UAE,Dubai · UAE,"Company Description Work with Us. Change the World. At AECOM, we're delivering a better world. Whether improving your commute, keeping…",https://www.bayt.com/en/uae/jobs/assistant-resident-engineer-marine-dubai-72124288/,18 hours ago
Senior Project Engineer - Site,Lobo Management,Dubai · UAE,"About Us: Ecocoast is a global leader in marine protection solutions, providing innovative and sustainable products and services…",https://www.bayt.com/en/uae/jobs/senior-project-engineer-site-72124992/,18 hours ago
SENIOR MECHANICAL ENGINEER,Jobs for HumanityDubai · UAE,Dubai · UAE,Company Description Jobs for Humanity is collaborating with Atkins to build an inclusive and just employment ecosystem. We support…,https://www.bayt.com/en/uae/jobs/senior-mechanical-engineer-72120355/,2 days ago
SR. MECHANICAL ENGINEER (CHILLERS),Jobs for Humanity,Dubai · UAE,Company Description Jobs for Humanity is collaborating with Atkins to build an inclusive and just employment ecosystem. We support…,https://www.bayt.com/en/uae/jobs/sr-mechanical-engineer-chillers-72120356/,2 days ago
Maintenance Engineer,Juma Al Majid GroupDubai · UAE,Dubai · UAE,Manage and follow signed maintenance contracts and direct the daily works & activities of the maintenance team to match the agreed…,https://www.bayt.com/en/uae/jobs/maintenance-engineer-72116392/,3 days ago
Senior Architect - Landscape Engineer (Site Role ) - Dubai,Juma Al Majid Group,Dubai · UAE,"Senior Architect - Landscape Engineer (Site Role ) - Dubai Dubai, ARE Job Description A Senior Landscape Architect is expected to…",https://www.bayt.com/en/uae/jobs/senior-architect-landscape-engineer-site-role-dubai-72124644/,3 days ago
Onsite Desktop Engineer - L2 Dubai,AecomDubai · UAE,Dubai · UAE,Are you tech-savvy problem solver? Join our team as a Desktop Support Engineer and help keep our organization running smoothly. You'll…,https://www.bayt.com/en/uae/jobs/onsite-desktop-engineer-l2-dubai-72113098/,4 days ago
Planning Engineer - Villa,Aecom,Dubai · UAE,About the job Planning Engineer - Villa General Description of Role and Responsibilities: Review/comment the Baseline Schedule and…,https://www.bayt.com/en/uae/jobs/planning-engineer-villa-72114271/,4 days ago
HSE Specialist/Coordinator Food,Excis Compliance LtdDubai · UAE,Dubai · UAE,About the job HSE Specialist/Coordinator Food We are seeking a dedicated and detail-oriented HSE Specialist/Coordinator to join our…,https://www.bayt.com/en/uae/jobs/hse-specialist-coordinator-food-72109938/,5 days ago
LEAD PROCESS ENGINEER,Excis Compliance Ltd,Dubai · UAE,About the job LEAD PROCESS ENGINEER We are seeking an experienced Lead Processing Engineer to manage and oversee the engineering phase…,https://www.bayt.com/en/uae/jobs/lead-process-engineer-72110277/,5 days ago
Senior Electrical Engineers / Electrical Engineer (12/11/2024),HILL INTERNATIONALDubai · UAE,Dubai · UAE,We are looking for a Senior Electrical Engineers / Electrical Engineer for one of our clients with the following details: Starting…,https://www.bayt.com/en/uae/jobs/senior-electrical-engineers-electrical-engineer-12-11-2024-72107812/,5 days ago
Mechanical Procurement Engineer,HILL INTERNATIONAL,Dubai · UAE,Mechanical Procurement Engineer Full-time Team: Supply Chain Management (SCM) Job Level: Middle (4 - 6 years) Company Description…,https://www.bayt.com/en/uae/jobs/mechanical-procurement-engineer-72110656/,5 days ago
"Mechanical Procurement Engineer (Gas left Compressor , Rotating Equipment)",BD SELECTDubai · UAE,Dubai · UAE,"Mechanical Procurement Engineer (Gas left Compressor , Rotating Equipment) Full-time Team: Supply Chain Management (SCM) Job Level:…",https://www.bayt.com/en/uae/jobs/mechanical-procurement-engineer-gas-left-compressor-rotating-equipment-72110757/,5 days ago
National Specifications Engineer,BD SELECT,Dubai · UAE,National Specifications Engineer We are looking for a National Specification Engineer to help increase Hilti Specifications by systematically…,https://www.bayt.com/en/uae/jobs/national-specifications-engineer-72106258/,6 days ago
National Specifications Engineer,Duncan & RossDubai · UAE,Dubai · UAE,National Specifications Engineer We are looking for a National Specification Engineer to help increase Hilti Specifications by systematically…,https://www.bayt.com/en/uae/jobs/national-specifications-engineer-72106210/,6 days ago
MATERIALS ARCHITECT - TRANSPORTATION,Duncan & Ross,Dubai · UAE,Company Description Jobs for Humanity is collaborating with Atkins to build an inclusive and just employment ecosystem. We support…,https://www.bayt.com/en/uae/jobs/materials-architect-transportation-72105182/,6 days ago
National Specifications Engineer,MphExpertsDubai · UAE,Dubai · UAE,"RESPETAMOS TU PRIVACIDAD Con tu consentimiento, nosotros y Nosotros y nuestros socios hacemos el siguiente tratamiento de datos: Content…",https://www.bayt.com/en/uae/jobs/national-specifications-engineer-72106158/,6 days ago
SENIOR MATERIALS ARCHITECT - TRANSPORTATION,MphExperts,Dubai · UAE,Company Description Jobs for Humanity is collaborating with Atkins to build an inclusive and just employment ecosystem. We support…,https://www.bayt.com/en/uae/jobs/senior-materials-architect-transportation-72105148/,6 days ago
National Specifications Engineer,Archirodon groupDubai · UAE,Dubai · UAE,National Specifications Engineer We are looking for a National Specification Engineer to help increase Hilti Specifications by systematically…,https://www.bayt.com/en/uae/jobs/national-specifications-engineer-72106457/,6 days ago
SENIOR UG STATION STRUCTURAL/GEOTECHNICAL ENGINEER,Archirodon group,Dubai · UAE,Company Description Jobs for Humanity is collaborating with Atkins to build an inclusive and just employment ecosystem. We support…,https://www.bayt.com/en/uae/jobs/senior-ug-station-structural-geotechnical-engineer-72105192/,6 days ago
SR. ROLLING STOCK ENGINEER,Archirodon groupDubai · UAE,Dubai · UAE,Company Description Jobs for Humanity is collaborating with Atkins to build an inclusive and just employment ecosystem. We support…,https://www.bayt.com/en/uae/jobs/sr-rolling-stock-engineer-72105172/,6 days ago
SR. AFC ENGINEER,Archirodon group,Dubai · UAE,Company Description Jobs for Humanity is collaborating with Atkins to build an inclusive and just employment ecosystem. We support…,https://www.bayt.com/en/uae/jobs/sr-afc-engineer-72105190/,6 days ago
National Specifications Engineer,Hilti AktiengesellschaftDubai · UAE,Dubai · UAE,National Specifications Engineer We are looking for a National Specification Engineer to help increase Hilti Specifications by systematically…,https://www.bayt.com/en/uae/jobs/national-specifications-engineer-72106151/,6 days ago
National Specifications Engineer,Hilti Aktiengesellschaft,Dubai · UAE,National Specifications Engineer We are looking for a National Specification Engineer to help increase Hilti Specifications by systematically…,https://www.bayt.com/en/uae/jobs/national-specifications-engineer-72106101/,6 days ago
